LAT,LON,YEAR,MO,DY,PRECTOTCORR
19,72.5,2025,2,4,0
19,73.125,2025,2,4,0
19,73.75,2025,2,4,0
19,74.375,2025,2,4,0
19.5,71.875,2025,2,4,0
19.5,72.5,2025,2,4,0
19.5,73.125,2025,2,4,0
19.5,73.75,2025,2,4,0
19.5,74.375,2025,2,4,0
20,71.875,2025,2,4,0
20,72.5,2025,2,4,0
20,73.125,2025,2,4,0
20,73.75,2025,2,4,0
20,74.375,2025,2,4,0
18.5,71.875,2025,2,5,0
18.5,72.5,2025,2,5,0
18.5,73.125,2025,2,5,0
18.5,73.75,2025,2,5,0
18.5,74.375,2025,2,5,0
19,71.875,2025,2,5,0
19,72.5,2025,2,5,0
19,73.125,2025,2,5,0
19,73.75,2025,2,5,0
19,74.375,2025,2,5,0
19.5,71.875,2025,2,5,0
19.5,72.5,2025,2,5,0
19.5,73.125,2025,2,5,0
19.5,73.75,2025,2,5,0
19.5,74.375,2025,2,5,0
20,71.875,2025,2,5,0
20,72.5,2025,2,5,0
20,73.125,2025,2,5,0
20,73.75,2025,2,5,0
20,74.375,2025,2,5,0
18.5,71.875,2025,2,6,0
18.5,72.5,2025,2,6,0
18.5,73.125,2025,2,6,0
18.5,73.75,2025,2,6,0
18.5,74.375,2025,2,6,0
19,71.875,2025,2,6,0
19,72.5,2025,2,6,0
19,73.125,2025,2,6,0
19,73.75,2025,2,6,0
19,74.375,2025,2,6,0
19.5,71.875,2025,2,6,0
19.5,72.5,2025,2,6,0
19.5,73.125,2025,2,6,0
19.5,73.75,2025,2,6,0
19.5,74.375,2025,2,6,0
20,71.875,2025,2,6,0
20,72.5,2025,2,6,0
20,73.125,2025,2,6,0
20,73.75,2025,2,6,0
20,74.375,2025,2,6,0
18.5,71.875,2025,2,7,0
18.5,72.5,2025,2,7,0
18.5,73.125,2025,2,7,0
18.5,73.75,2025,2,7,0
18.5,74.375,2025,2,7,0
19,71.875,2025,2,7,0
19,72.5,2025,2,7,0
19,73.125,2025,2,7,0
19,73.75,2025,2,7,0
19,74.375,2025,2,7,0
19.5,71.875,2025,2,7,0
19.5,72.5,2025,2,7,0
19.5,73.125,2025,2,7,0
19.5,73.75,2025,2,7,0
19.5,74.375,2025,2,7,0
20,71.875,2025,2,7,0
20,72.5,2025,2,7,0
20,73.125,2025,2,7,0
20,73.75,2025,2,7,0
20,74.375,2025,2,7,0
18.5,71.875,2025,2,8,0
18.5,72.5,2025,2,8,0
18.5,73.125,2025,2,8,0
18.5,73.75,2025,2,8,0
18.5,74.375,2025,2,8,0
19,71.875,2025,2,8,0
19,72.5,2025,2,8,0
19,73.125,2025,2,8,0
19,73.75,2025,2,8,0
19,74.375,2025,2,8,0
19.5,71.875,2025,2,8,0
19.5,72.5,2025,2,8,0
19.5,73.125,2025,2,8,0
19.5,73.75,2025,2,8,0
19.5,74.375,2025,2,8,0
20,71.875,2025,2,8,0
20,72.5,2025,2,8,0
20,73.125,2025,2,8,0
20,73.75,2025,2,8,0
20,74.375,2025,2,8,0
18.5,71.875,2025,2,9,0.38
18.5,72.5,2025,2,9,0.06
18.5,73.125,2025,2,9,0
18.5,73.75,2025,2,9,0
18.5,74.375,2025,2,9,0
19,71.875,2025,2,9,0.12
19,72.5,2025,2,9,0.02
19,73.125,2025,2,9,0
19,73.75,2025,2,9,0
19,74.375,2025,2,9,0
19.5,71.875,2025,2,9,0.01
19.5,72.5,2025,2,9,0
19.5,73.125,2025,2,9,0
19.5,73.75,2025,2,9,0
19.5,74.375,2025,2,9,0
20,71.875,2025,2,9,0
20,72.5,2025,2,9,0
20,73.125,2025,2,9,0
20,73.75,2025,2,9,0
20,74.375,2025,2,9,0
18.5,71.875,2025,2,10,0
18.5,72.5,2025,2,10,0
18.5,73.125,2025,2,10,0
18.5,73.75,2025,2,10,0
18.5,74.375,2025,2,10,0
19,71.875,2025,2,10,0
19,72.5,2025,2,10,0
19,73.125,2025,2,10,0
19,73.75,2025,2,10,0
19,74.375,2025,2,10,0
19.5,71.875,2025,2,10,0
19.5,72.5,2025,2,10,0
19.5,73.125,2025,2,10,0
19.5,73.75,2025,2,10,0
19.5,74.375,2025,2,10,0
20,71.875,2025,2,10,0
20,72.5,2025,2,10,0
20,73.125,2025,2,10,0
20,73.75,2025,2,10,0
20,74.375,2025,2,10,0
18.5,71.875,2025,2,11,0
18.5,72.5,2025,2,11,0
18.5,73.125,2025,2,11,0
18.5,73.75,2025,2,11,0
18.5,74.375,2025,2,11,0
19,71.875,2025,2,11,0
19,72.5,2025,2,11,0
19,73.125,2025,2,11,0
19,73.75,2025,2,11,0
19,74.375,2025,2,11,0
19.5,71.875,2025,2,11,0
19.5,72.5,2025,2,11,0
19.5,73.125,2025,2,11,0
19.5,73.75,2025,2,11,0
19.5,74.375,2025,2,11,0
20,71.875,2025,2,11,0
20,72.5,2025,2,11,0
20,73.125,2025,2,11,0
20,73.75,2025,2,11,0
20,74.375,2025,2,11,0
18.5,71.875,2025,2,12,0
18.5,72.5,2025,2,12,0
18.5,73.125,2025,2,12,0
18.5,73.75,2025,2,12,0
18.5,74.375,2025,2,12,0
19,71.875,2025,2,12,0
19,72.5,2025,2,12,0
19,73.125,2025,2,12,0
19,73.75,2025,2,12,0
19,74.375,2025,2,12,0
19.5,71.875,2025,2,12,0
19.5,72.5,2025,2,12,0
19.5,73.125,2025,2,12,0
19.5,73.75,2025,2,12,0
19.5,74.375,2025,2,12,0
20,71.875,2025,2,12,0
20,72.5,2025,2,12,0
20,73.125,2025,2,12,0
20,73.75,2025,2,12,0
20,74.375,2025,2,12,0
18.5,71.875,2025,2,13,0
18.5,72.5,2025,2,13,0
18.5,73.125,2025,2,13,0
18.5,73.75,2025,2,13,0
18.5,74.375,2025,2,13,0
19,71.875,2025,2,13,0
19,72.5,2025,2,13,0
19,73.125,2025,2,13,0
19,73.75,2025,2,13,0
19,74.375,2025,2,13,0
19.5,71.875,2025,2,13,0
19.5,72.5,2025,2,13,0
19.5,73.125,2025,2,13,0
19.5,73.75,2025,2,13,0
19.5,74.375,2025,2,13,0
20,71.875,2025,2,13,0
20,72.5,2025,2,13,0
20,73.125,2025,2,13,0
20,73.75,2025,2,13,0
20,74.375,2025,2,13,0
18.5,71.875,2025,2,14,0
18.5,72.5,2025,2,14,0
18.5,73.125,2025,2,14,0
18.5,73.75,2025,2,14,0
18.5,74.375,2025,2,14,0
19,71.875,2025,2,14,0
19,72.5,2025,2,14,0
19,73.125,2025,2,14,0
19,73.75,2025,2,14,0
19,74.375,2025,2,14,0
19.5,71.875,2025,2,14,0
19.5,72.5,2025,2,14,0
19.5,73.125,2025,2,14,0
19.5,73.75,2025,2,14,0
19.5,74.375,2025,2,14,0
20,71.875,2025,2,14,0
20,72.5,2025,2,14,0
20,73.125,2025,2,14,0
20,73.75,2025,2,14,0
20,74.375,2025,2,14,0
18.5,71.875,2025,2,15,0
18.5,72.5,2025,2,15,0
18.5,73.125,2025,2,15,0
18.5,73.75,2025,2,15,0
18.5,74.375,2025,2,15,0
19,71.875,2025,2,15,0
19,72.5,2025,2,15,0
19,73.125,2025,2,15,0
19,73.75,2025,2,15,0
19,74.375,2025,2,15,0
19.5,71.875,2025,2,15,0
19.5,72.5,2025,2,15,0
19.5,73.125,2025,2,15,0
19.5,73.75,2025,2,15,0
19.5,74.375,2025,2,15,0
20,71.875,2025,2,15,0
20,72.5,2025,2,15,0
20,73.125,2025,2,15,0
20,73.75,2025,2,15,0
20,74.375,2025,2,15,0
18.5,71.875,2025,2,16,0.14
18.5,72.5,2025,2,16,0.01
18.5,73.125,2025,2,16,0.01
18.5,73.75,2025,2,16,0
18.5,74.375,2025,2,16,0
19,71.875,2025,2,16,0.43
19,72.5,2025,2,16,0.05
19,73.125,2025,2,16,0.01
19,73.75,2025,2,16,0
19,74.375,2025,2,16,0
19.5,71.875,2025,2,16,0.25
19.5,72.5,2025,2,16,0.03
19.5,73.125,2025,2,16,0
19.5,73.75,2025,2,16,0
19.5,74.375,2025,2,16,0
20,71.875,2025,2,16,0.05
20,72.5,2025,2,16,0.01
20,73.125,2025,2,16,0
20,73.75,2025,2,16,0
20,74.375,2025,2,16,0
18.5,71.875,2025,2,17,0.02
18.5,72.5,2025,2,17,0
18.5,73.125,2025,2,17,0.03
18.5,73.75,2025,2,17,0
18.5,74.375,2025,2,17,0
19,71.875,2025,2,17,0.11
19,72.5,2025,2,17,0.09
19,73.125,2025,2,17,0.17
19,73.75,2025,2,17,0
19,74.375,2025,2,17,0
19.5,71.875,2025,2,17,0.12
19.5,72.5,2025,2,17,0.34
19.5,73.125,2025,2,17,0.14
19.5,73.75,2025,2,17,0
19.5,74.375,2025,2,17,0
20,71.875,2025,2,17,0.05
20,72.5,2025,2,17,0.22
20,73.125,2025,2,17,0.04
20,73.75,2025,2,17,0
20,74.375,2025,2,17,0
18.5,71.875,2025,2,18,0
18.5,72.5,2025,2,18,0
18.5,73.125,2025,2,18,0
18.5,73.75,2025,2,18,0
18.5,74.375,2025,2,18,0
19,71.875,2025,2,18,0.05
19,72.5,2025,2,18,0.01
19,73.125,2025,2,18,0.08
19,73.75,2025,2,18,0
19,74.375,2025,2,18,0
19.5,71.875,2025,2,18,0.1
19.5,72.5,2025,2,18,0.16
19.5,73.125,2025,2,18,0.13
19.5,73.75,2025,2,18,0
19.5,74.375,2025,2,18,0
20,71.875,2025,2,18,0.06
20,72.5,2025,2,18,0.22
20,73.125,2025,2,18,0.06
20,73.75,2025,2,18,0
20,74.375,2025,2,18,0
18.5,71.875,2025,2,19,0.01
18.5,72.5,2025,2,19,0.03
18.5,73.125,2025,2,19,0
18.5,73.75,2025,2,19,0
18.5,74.375,2025,2,19,0
19,71.875,2025,2,19,0.06
19,72.5,2025,2,19,0.01
19,73.125,2025,2,19,0
19,73.75,2025,2,19,0
19,74.375,2025,2,19,0
19.5,71.875,2025,2,19,0.08
19.5,72.5,2025,2,19,0.01
19.5,73.125,2025,2,19,0.07
19.5,73.75,2025,2,19,0
19.5,74.375,2025,2,19,0
20,71.875,2025,2,19,0.05
20,72.5,2025,2,19,0.11
20,73.125,2025,2,19,0.05
20,73.75,2025,2,19,0
20,74.375,2025,2,19,0
18.5,71.875,2025,2,20,0.01
18.5,72.5,2025,2,20,0.04
18.5,73.125,2025,2,20,0.01
18.5,73.75,2025,2,20,0
18.5,74.375,2025,2,20,0
19,71.875,2025,2,20,0.01
19,72.5,2025,2,20,0.01
19,73.125,2025,2,20,0.01
19,73.75,2025,2,20,0
19,74.375,2025,2,20,0
19.5,71.875,2025,2,20,0.01
19.5,72.5,2025,2,20,0.02
19.5,73.125,2025,2,20,0.01
19.5,73.75,2025,2,20,0
19.5,74.375,2025,2,20,0
20,71.875,2025,2,20,0
20,72.5,2025,2,20,0.01
20,73.125,2025,2,20,0
20,73.75,2025,2,20,0
20,74.375,2025,2,20,0
18.5,71.875,2025,2,21,0
18.5,72.5,2025,2,21,0
18.5,73.125,2025,2,21,0
18.5,73.75,2025,2,21,0
18.5,74.375,2025,2,21,0
19,71.875,2025,2,21,0
19,72.5,2025,2,21,0
19,73.125,2025,2,21,0
19,73.75,2025,2,21,0
19,74.375,2025,2,21,0
19.5,71.875,2025,2,21,0
19.5,72.5,2025,2,21,0
19.5,73.125,2025,2,21,0
19.5,73.75,2025,2,21,0
19.5,74.375,2025,2,21,0
20,71.875,2025,2,21,0
20,72.5,2025,2,21,0
20,73.125,2025,2,21,0
20,73.75,2025,2,21,0
20,74.375,2025,2,21,0
18.5,71.875,2025,2,22,0
18.5,72.5,2025,2,22,0
18.5,73.125,2025,2,22,0
18.5,73.75,2025,2,22,0
18.5,74.375,2025,2,22,0
19,71.875,2025,2,22,0
19,72.5,2025,2,22,0
19,73.125,2025,2,22,0
19,73.75,2025,2,22,0
19,74.375,2025,2,22,0
19.5,71.875,2025,2,22,0
19.5,72.5,2025,2,22,0
19.5,73.125,2025,2,22,0
19.5,73.75,2025,2,22,0
19.5,74.375,2025,2,22,0
20,71.875,2025,2,22,0
20,72.5,2025,2,22,0
20,73.125,2025,2,22,0
20,73.75,2025,2,22,0
20,74.375,2025,2,22,0
18.5,71.875,2025,2,23,0
18.5,72.5,2025,2,23,0
18.5,73.125,2025,2,23,0
18.5,73.75,2025,2,23,0
18.5,74.375,2025,2,23,0
19,71.875,2025,2,23,0
19,72.5,2025,2,23,0
19,73.125,2025,2,23,0
19,73.75,2025,2,23,0
19,74.375,2025,2,23,0
19.5,71.875,2025,2,23,0
19.5,72.5,2025,2,23,0
19.5,73.125,2025,2,23,0
19.5,73.75,2025,2,23,0
19.5,74.375,2025,2,23,0
20,71.875,2025,2,23,0
20,72.5,2025,2,23,0
20,73.125,2025,2,23,0
20,73.75,2025,2,23,0
20,74.375,2025,2,23,0
18.5,71.875,2025,2,24,0
18.5,72.5,2025,2,24,0
18.5,73.125,2025,2,24,0
18.5,73.75,2025,2,24,0
18.5,74.375,2025,2,24,0
19,71.875,2025,2,24,0
19,72.5,2025,2,24,0
19,73.125,2025,2,24,0
19,73.75,2025,2,24,0
19,74.375,2025,2,24,0
19.5,71.875,2025,2,24,0
19.5,72.5,2025,2,24,0
19.5,73.125,2025,2,24,0
19.5,73.75,2025,2,24,0
19.5,74.375,2025,2,24,0
20,71.875,2025,2,24,0
20,72.5,2025,2,24,0
20,73.125,2025,2,24,0
20,73.75,2025,2,24,0
20,74.375,2025,2,24,0
18.5,71.875,2025,2,25,0
18.5,72.5,2025,2,25,0
18.5,73.125,2025,2,25,0
18.5,73.75,2025,2,25,0
18.5,74.375,2025,2,25,0
19,71.875,2025,2,25,0
19,72.5,2025,2,25,0
19,73.125,2025,2,25,0
19,73.75,2025,2,25,0
19,74.375,2025,2,25,0
19.5,71.875,2025,2,25,0
19.5,72.5,2025,2,25,0
19.5,73.125,2025,2,25,0
19.5,73.75,2025,2,25,0
19.5,74.375,2025,2,25,0
20,71.875,2025,2,25,0
20,72.5,2025,2,25,0
20,73.125,2025,2,25,0
20,73.75,2025,2,25,0
20,74.375,2025,2,25,0
18.5,71.875,2025,2,26,0.13
18.5,72.5,2025,2,26,0
18.5,73.125,2025,2,26,0
18.5,73.75,2025,2,26,0
18.5,74.375,2025,2,26,0
19,71.875,2025,2,26,0.02
19,72.5,2025,2,26,0
19,73.125,2025,2,26,0
19,73.75,2025,2,26,0
19,74.375,2025,2,26,0
19.5,71.875,2025,2,26,0
19.5,72.5,2025,2,26,0
19.5,73.125,2025,2,26,0
19.5,73.75,2025,2,26,0
19.5,74.375,2025,2,26,0
20,71.875,2025,2,26,0
20,72.5,2025,2,26,0
20,73.125,2025,2,26,0
20,73.75,2025,2,26,0
20,74.375,2025,2,26,0
18.5,71.875,2025,2,27,0.08
18.5,72.5,2025,2,27,0
18.5,73.125,2025,2,27,0
18.5,73.75,2025,2,27,0
18.5,74.375,2025,2,27,0
19,71.875,2025,2,27,0.83
19,72.5,2025,2,27,0.04
19,73.125,2025,2,27,0
19,73.75,2025,2,27,0
19,74.375,2025,2,27,0
19.5,71.875,2025,2,27,0.51
19.5,72.5,2025,2,27,0.03
19.5,73.125,2025,2,27,0
19.5,73.75,2025,2,27,0
19.5,74.375,2025,2,27,0
20,71.875,2025,2,27,0.09
20,72.5,2025,2,27,0.01
20,73.125,2025,2,27,0
20,73.75,2025,2,27,0
20,74.375,2025,2,27,0
18.5,71.875,2025,2,28,1.14
18.5,72.5,2025,2,28,0.08
18.5,73.125,2025,2,28,0
18.5,73.75,2025,2,28,0
18.5,74.375,2025,2,28,0
19,71.875,2025,2,28,0.32
19,72.5,2025,2,28,0.03
19,73.125,2025,2,28,0
19,73.75,2025,2,28,0
19,74.375,2025,2,28,0
19.5,71.875,2025,2,28,0.04
19.5,72.5,2025,2,28,0
19.5,73.125,2025,2,28,0
19.5,73.75,2025,2,28,0
19.5,74.375,2025,2,28,0
20,71.875,2025,2,28,0
20,72.5,2025,2,28,0
20,73.125,2025,2,28,0
20,73.75,2025,2,28,0
20,74.375,2025,2,28,0
18.5,71.875,2025,3,1,0.97
18.5,72.5,2025,3,1,0.12
18.5,73.125,2025,3,1,0.01
18.5,73.75,2025,3,1,0
18.5,74.375,2025,3,1,0
19,71.875,2025,3,1,0.56
19,72.5,2025,3,1,0.07
19,73.125,2025,3,1,0.01
19,73.75,2025,3,1,0
19,74.375,2025,3,1,0
19.5,71.875,2025,3,1,0.17
19.5,72.5,2025,3,1,0.02
19.5,73.125,2025,3,1,0
19.5,73.75,2025,3,1,0
19.5,74.375,2025,3,1,0
20,71.875,2025,3,1,0.02
20,72.5,2025,3,1,0
20,73.125,2025,3,1,0
20,73.75,2025,3,1,0
20,74.375,2025,3,1,0
18.5,71.875,2025,3,2,0
18.5,72.5,2025,3,2,0
18.5,73.125,2025,3,2,0
18.5,73.75,2025,3,2,0
18.5,74.375,2025,3,2,0
19,71.875,2025,3,2,0
19,72.5,2025,3,2,0
19,73.125,2025,3,2,0
19,73.75,2025,3,2,0
19,74.375,2025,3,2,0
19.5,71.875,2025,3,2,0
19.5,72.5,2025,3,2,0
19.5,73.125,2025,3,2,0
19.5,73.75,2025,3,2,0
19.5,74.375,2025,3,2,0
20,71.875,2025,3,2,0
20,72.5,2025,3,2,0
20,73.125,2025,3,2,0
20,73.75,2025,3,2,0
20,74.375,2025,3,2,0
18.5,71.875,2025,3,3,0
18.5,72.5,2025,3,3,0
18.5,73.125,2025,3,3,0
18.5,73.75,2025,3,3,0
18.5,74.375,2025,3,3,0
19,71.875,2025,3,3,0.3
19,72.5,2025,3,3,0.06
19,73.125,2025,3,3,0.49
19,73.75,2025,3,3,0
19,74.375,2025,3,3,0
19.5,71.875,2025,3,3,0.96
19.5,72.5,2025,3,3,1.09
19.5,73.125,2025,3,3,1.37
19.5,73.75,2025,3,3,0
19.5,74.375,2025,3,3,0
20,71.875,2025,3,3,0.69
20,72.5,2025,3,3,2.29
20,73.125,2025,3,3,0.8
20,73.75,2025,3,3,0
20,74.375,2025,3,3,0
18.5,71.875,2025,3,4,0
18.5,72.5,2025,3,4,0
18.5,73.125,2025,3,4,0
18.5,73.75,2025,3,4,0
18.5,74.375,2025,3,4,0
19,71.875,2025,3,4,0
19,72.5,2025,3,4,0
19,73.125,2025,3,4,0
19,73.75,2025,3,4,0
19,74.375,2025,3,4,0
19.5,71.875,2025,3,4,0
19.5,72.5,2025,3,4,0
19.5,73.125,2025,3,4,0
19.5,73.75,2025,3,4,0
19.5,74.375,2025,3,4,0
20,71.875,2025,3,4,0
20,72.5,2025,3,4,0
20,73.125,2025,3,4,0
20,73.75,2025,3,4,0
20,74.375,2025,3,4,0
18.5,71.875,2025,3,5,0
18.5,72.5,2025,3,5,0
18.5,73.125,2025,3,5,0
18.5,73.75,2025,3,5,0
18.5,74.375,2025,3,5,0
19,71.875,2025,3,5,0
19,72.5,2025,3,5,0
19,73.125,2025,3,5,0
19,73.75,2025,3,5,0
19,74.375,2025,3,5,0
19.5,71.875,2025,3,5,0
19.5,72.5,2025,3,5,0
19.5,73.125,2025,3,5,0
19.5,73.75,2025,3,5,0
19.5,74.375,2025,3,5,0
20,71.875,2025,3,5,0
20,72.5,2025,3,5,0
20,73.125,2025,3,5,0
20,73.75,2025,3,5,0
20,74.375,2025,3,5,0
18.5,71.875,2025,3,6,0
18.5,72.5,2025,3,6,0
18.5,73.125,2025,3,6,0
18.5,73.75,2025,3,6,0
18.5,74.375,2025,3,6,0
19,71.875,2025,3,6,0
19,72.5,2025,3,6,0
19,73.125,2025,3,6,0
19,73.75,2025,3,6,0
19,74.375,2025,3,6,0
19.5,71.875,2025,3,6,0
19.5,72.5,2025,3,6,0
19.5,73.125,2025,3,6,0
19.5,73.75,2025,3,6,0
19.5,74.375,2025,3,6,0
20,71.875,2025,3,6,0
20,72.5,2025,3,6,0
20,73.125,2025,3,6,0
20,73.75,2025,3,6,0
20,74.375,2025,3,6,0
18.5,71.875,2025,3,7,0
18.5,72.5,2025,3,7,0
18.5,73.125,2025,3,7,0
18.5,73.75,2025,3,7,0
18.5,74.375,2025,3,7,0
19,71.875,2025,3,7,0
19,72.5,2025,3,7,0
19,73.125,2025,3,7,0
19,73.75,2025,3,7,0
19,74.375,2025,3,7,0
19.5,71.875,2025,3,7,0
19.5,72.5,2025,3,7,0
19.5,73.125,2025,3,7,0
19.5,73.75,2025,3,7,0
19.5,74.375,2025,3,7,0
20,71.875,2025,3,7,0
20,72.5,2025,3,7,0
20,73.125,2025,3,7,0
20,73.75,2025,3,7,0
20,74.375,2025,3,7,0
18.5,71.875,2025,3,8,0
18.5,72.5,2025,3,8,0
18.5,73.125,2025,3,8,0
18.5,73.75,2025,3,8,0
18.5,74.375,2025,3,8,0
19,71.875,2025,3,8,0
19,72.5,2025,3,8,0
19,73.125,2025,3,8,0
19,73.75,2025,3,8,0
19,74.375,2025,3,8,0
19.5,71.875,2025,3,8,0
19.5,72.5,2025,3,8,0
19.5,73.125,2025,3,8,0
19.5,73.75,2025,3,8,0
19.5,74.375,2025,3,8,0
20,71.875,2025,3,8,0
20,72.5,2025,3,8,0
20,73.125,2025,3,8,0
20,73.75,2025,3,8,0
20,74.375,2025,3,8,0
18.5,71.875,2025,3,9,0
18.5,72.5,2025,3,9,0
18.5,73.125,2025,3,9,0
18.5,73.75,2025,3,9,0
18.5,74.375,2025,3,9,0
19,71.875,2025,3,9,0
19,72.5,2025,3,9,0
19,73.125,2025,3,9,0
19,73.75,2025,3,9,0
19,74.375,2025,3,9,0
19.5,71.875,2025,3,9,0
19.5,72.5,2025,3,9,0
19.5,73.125,2025,3,9,0
19.5,73.75,2025,3,9,0
19.5,74.375,2025,3,9,0
20,71.875,2025,3,9,0
20,72.5,2025,3,9,0
20,73.125,2025,3,9,0
20,73.75,2025,3,9,0
20,74.375,2025,3,9,0
18.5,71.875,2025,3,10,0
18.5,72.5,2025,3,10,0
18.5,73.125,2025,3,10,0
18.5,73.75,2025,3,10,0
18.5,74.375,2025,3,10,0
19,71.875,2025,3,10,0
19,72.5,2025,3,10,0
19,73.125,2025,3,10,0
19,73.75,2025,3,10,0
19,74.375,2025,3,10,0
19.5,71.875,2025,3,10,0
19.5,72.5,2025,3,10,0
19.5,73.125,2025,3,10,0
19.5,73.75,2025,3,10,0
19.5,74.375,2025,3,10,0
20,71.875,2025,3,10,0
20,72.5,2025,3,10,0
20,73.125,2025,3,10,0
20,73.75,2025,3,10,0
20,74.375,2025,3,10,0
18.5,71.875,2025,3,11,0
18.5,72.5,2025,3,11,0
18.5,73.125,2025,3,11,0
18.5,73.75,2025,3,11,0
18.5,74.375,2025,3,11,0
19,71.875,2025,3,11,0
19,72.5,2025,3,11,0
19,73.125,2025,3,11,0
19,73.75,2025,3,11,0
19,74.375,2025,3,11,0
19.5,71.875,2025,3,11,0
19.5,72.5,2025,3,11,0
19.5,73.125,2025,3,11,0
19.5,73.75,2025,3,11,0
19.5,74.375,2025,3,11,0
20,71.875,2025,3,11,0
20,72.5,2025,3,11,0
20,73.125,2025,3,11,0
20,73.75,2025,3,11,0
20,74.375,2025,3,11,0
18.5,71.875,2025,3,12,0.11
18.5,72.5,2025,3,12,0.09
18.5,73.125,2025,3,12,0.05
18.5,73.75,2025,3,12,0
18.5,74.375,2025,3,12,0
19,71.875,2025,3,12,0.15
19,72.5,2025,3,12,0.12
19,73.125,2025,3,12,0.04
19,73.75,2025,3,12,0
19,74.375,2025,3,12,0
19.5,71.875,2025,3,12,0.1
19.5,72.5,2025,3,12,0.08
19.5,73.125,2025,3,12,0.02
19.5,73.75,2025,3,12,0
19.5,74.375,2025,3,12,0
20,71.875,2025,3,12,0.05
20,72.5,2025,3,12,0.03
20,73.125,2025,3,12,0
20,73.75,2025,3,12,0
20,74.375,2025,3,12,0
18.5,71.875,2025,3,13,0.5
18.5,72.5,2025,3,13,0.21
18.5,73.125,2025,3,13,0.08
18.5,73.75,2025,3,13,0
18.5,74.375,2025,3,13,0
19,71.875,2025,3,13,0.24
19,72.5,2025,3,13,0.2
19,73.125,2025,3,13,0.07
19,73.75,2025,3,13,0
19,74.375,2025,3,13,0
19.5,71.875,2025,3,13,0.07
19.5,72.5,2025,3,13,0.12
19.5,73.125,2025,3,13,0.04
19.5,73.75,2025,3,13,0
19.5,74.375,2025,3,13,0
20,71.875,2025,3,13,0.02
20,72.5,2025,3,13,0.06
20,73.125,2025,3,13,0.02
20,73.75,2025,3,13,0
20,74.375,2025,3,13,0
18.5,71.875,2025,3,14,0.08
18.5,72.5,2025,3,14,0.17
18.5,73.125,2025,3,14,0.05
18.5,73.75,2025,3,14,0
18.5,74.375,2025,3,14,0
19,71.875,2025,3,14,0.05
19,72.5,2025,3,14,0.1
19,73.125,2025,3,14,0.04
19,73.75,2025,3,14,0
19,74.375,2025,3,14,0
19.5,71.875,2025,3,14,0.02
19.5,72.5,2025,3,14,0.07
19.5,73.125,2025,3,14,0.02
19.5,73.75,2025,3,14,0
19.5,74.375,2025,3,14,0
20,71.875,2025,3,14,0
20,72.5,2025,3,14,0.03
20,73.125,2025,3,14,0
20,73.75,2025,3,14,0
20,74.375,2025,3,14,0
18.5,71.875,2025,3,15,0.01
18.5,72.5,2025,3,15,0.01
18.5,73.125,2025,3,15,0.01
18.5,73.75,2025,3,15,0
18.5,74.375,2025,3,15,0
19,71.875,2025,3,15,0.01
19,72.5,2025,3,15,0.02
19,73.125,2025,3,15,0.02
19,73.75,2025,3,15,0
19,74.375,2025,3,15,0
19.5,71.875,2025,3,15,0.01
19.5,72.5,2025,3,15,0.04
19.5,73.125,2025,3,15,0.01
19.5,73.75,2025,3,15,0
19.5,74.375,2025,3,15,0
